area,date,generation,avgTa,avgWs,avgRhm,ssDur,sumSsHr,sumGsr,avgTca,PM10,PM25
강원도,2016-04-04,417.721927,10.1,1.6,72.4,12.8,6.8,18.94,0.8,35.06944444444444,19.631944444444443
강원도,2016-04-05,467.5724,16.3,2.9,27.3,12.8,11.8,25.26,0.8,47.633790436005626,21.04834739803094
강원도,2016-04-06,326.034373,15.3,2.4,43.0,12.8,7.9,18.79,0.8,81.89556962025317,40.71729957805908
강원도,2016-04-07,249.483633,13.7,1.5,73.6,12.9,6.4,16.03,0.8,41.46554149085794,19.80006153305204
강원도,2016-04-08,410.099835,17.6,3.7,27.9,12.9,11.8,24.47,0.8,68.2134317862166,21.26068037974684
강원도,2016-04-09,320.134451,19.2,4.8,34.5,13.0,9.0,20.81,0.8,121.90277777777776,50.36111111111112
강원도,2016-04-10,279.842759,8.5,2.3,65.8,13.0,0.0,6.07,0.8,90.25,32.986111111111114
강원도,2016-04-11,393.822062,7.4,1.9,67.3,13.0,5.4,16.04,0.8,38.458333333333336,19.97222222222222
강원도,2016-04-12,342.245975,11.9,2.0,59.5,13.1,8.7,19.39,0.8,51.263888888888886,25.73611111111111
강원도,2016-04-13,176.362126,16.0,1.9,57.5,13.1,6.1,14.09,0.8,48.09722222222222,24.01388888888889
강원도,2016-04-14,394.882019,15.8,2.2,51.3,13.1,11.4,23.73,0.8,63.79166666666666,29.26388888888889
강원도,2016-04-15,470.772219,14.1,2.2,51.9,13.2,11.4,25.26,0.8,55.958333333333336,24.48611111111111
강원도,2016-04-16,285.825948,18.7,2.3,43.3,13.2,6.7,16.15,0.8,54.708333333333336,26.33333333333333
강원도,2016-04-17,271.927171,14.4,4.8,45.1,13.3,10.6,25.53,0.8,36.49305555555556,14.26388888888889
강원도,2016-04-18,427.910398,13.0,4.8,41.8,13.3,9.7,24.58,0.8,81.76388888888889,20.38888888888889
강원도,2016-04-19,462.569762,12.5,2.0,54.4,13.3,12.1,27.06,0.8,37.56944444444444,18.979166666666668
강원도,2016-04-20,283.152767,16.6,2.7,32.5,13.4,2.8,11.25,0.8,46.50111111111111,20.09722222222222
강원도,2016-04-21,120.997419,12.7,1.4,85.3,13.4,3.0,7.67,0.8,37.03,22.94
강원도,2016-04-22,409.553349,21.7,4.2,35.5,13.5,12.2,25.75,0.8,75.67027777777778,39.89333333333334
강원도,2016-04-23,300.72199,16.4,1.9,21.8,13.5,9.1,21.42,0.8,181.61111111111111,38.583333333333336
강원도,2016-04-24,452.370266,13.1,2.2,38.3,13.5,12.0,25.47,0.8,87.25,21.93055555555556
강원도,2016-04-25,463.038973,17.7,1.8,41.8,13.6,11.9,25.42,0.8,74.02777777777777,25.15277777777778
강원도,2016-04-26,408.406875,13.0,3.0,62.9,13.6,9.4,22.13,0.8,70.70833333333333,26.30555555555556
강원도,2016-04-27,107.690831,9.5,2.6,72.0,13.6,0.1,5.98,0.8,48.333333333333336,19.80555555555556
강원도,2016-04-28,351.039766,9.8,1.8,69.1,13.7,9.7,22.04,0.8,39.93055555555556,17.15277777777778
강원도,2016-04-29,448.835168,14.9,1.9,43.3,13.7,12.2,26.95,0.8,41.65277777777778,18.819444444444443
강원도,2016-04-30,264.583282,19.9,4.5,31.6,13.7,4.1,11.92,0.8,80.66666666666667,38.52777777777778
강원도,2016-05-01,368.282316,17.9,3.0,50.8,13.8,9.8,19.51,0.8,62.208333333333336,33.263888888888886
강원도,2016-05-02,418.744771,15.5,1.5,72.6,13.8,10.4,24.64,0.8,47.79166666666666,26.75
강원도,2016-05-03,76.654289,17.9,4.5,53.6,13.8,8.0,19.29,0.8,38.458333333333336,13.958333333333334
강원도,2016-05-04,362.387117,16.8,5.3,33.9,13.9,1.2,6.97,0.8,49.94444444444444,10.63888888888889
강원도,2016-05-05,427.846399,20.6,2.7,24.6,13.9,11.3,25.9,0.8,44.04166666666666,13.666666666666666
강원도,2016-05-06,97.968602,17.9,2.1,58.9,13.9,3.2,10.2,0.8,54.16666666666666,23.18055555555556
강원도,2016-05-07,452.643239,18.9,2.7,38.0,14.0,12.2,27.74,0.8,175.56944444444446,44.47222222222222
강원도,2016-05-08,457.856195,18.1,2.3,48.9,14.0,11.4,25.4,0.8,101.88888888888889,31.80555555555556
강원도,2016-05-09,314.469634,18.0,1.3,59.4,14.0,6.4,21.02,0.8,91.27777777777776,34.236111111111114
강원도,2016-05-10,56.466052,12.3,2.6,85.0,14.1,0.3,2.81,0.8,36.62847222222222,18.875
강원도,2016-05-11,440.20818,14.7,1.9,61.5,14.1,11.2,28.48,0.8,31.850694444444443,14.42361111111111
강원도,2016-05-12,479.658509,22.7,4.3,35.1,14.1,12.1,28.53,0.8,60.02182539682539,26.58333333333333
강원도,2016-05-13,392.689601,16.0,3.3,46.5,14.2,7.8,22.41,0.8,38.67956349206349,16.76388888888889
강원도,2016-05-14,546.591704,14.5,1.8,58.6,14.2,12.2,29.83,0.8,26.55555555555556,11.57638888888889
강원도,2016-05-15,378.533792,13.9,1.7,77.3,14.2,9.9,24.56,0.8,27.569444444444443,12.86111111111111
강원도,2016-05-16,470.963569,18.3,3.2,34.9,14.2,9.6,25.86,0.8,39.888888888888886,20.24305555555556
강원도,2016-05-17,539.972652,23.2,2.6,24.1,14.3,12.6,30.01,0.8,45.05555555555556,21.84722222222222
강원도,2016-05-18,526.195545,24.8,2.7,26.1,14.3,12.5,29.99,0.8,45.27777777777778,24.694444444444443
강원도,2016-05-19,507.251286,23.4,2.3,28.9,14.3,12.6,29.78,0.8,42.80555555555556,22.99305555555556
강원도,2016-05-20,535.082113,17.7,1.4,50.3,14.4,12.5,29.92,0.8,41.888888888888886,23.98611111111111
강원도,2016-05-21,512.180618,18.7,1.6,44.1,14.4,12.4,29.83,0.8,39.59722222222222,24.291666666666668
강원도,2016-05-22,517.267782,18.8,1.8,48.3,14.4,12.1,29.35,0.8,45.61805555555556,33.65972222222222
강원도,2016-05-23,443.675761,18.5,1.4,68.8,14.4,10.7,25.59,0.8,46.19444444444444,30.15277777777778
강원도,2016-05-24,140.392426,19.2,2.3,63.9,14.5,3.2,11.07,0.8,46.125,27.291666666666668
강원도,2016-05-25,433.181968,23.2,3.1,38.6,14.5,12.4,29.85,0.8,65.18055555555556,43.72222222222222
강원도,2016-05-26,221.146959,23.2,2.4,46.9,14.5,1.7,9.68,0.8,91.16666666666669,65.48611111111111
강원도,2016-05-27,400.055168,21.8,2.4,45.1,14.5,10.1,25.85,0.8,59.98611111111112,34.84722222222222
강원도,2016-05-28,505.622384,24.8,2.6,34.3,14.5,12.3,29.49,0.8,56.61111111111112,33.486111111111114
강원도,2016-05-29,346.32874400000003,23.9,2.3,42.1,14.6,7.0,20.66,0.8,61.41666666666666,37.25
강원도,2016-05-30,488.309157,19.5,2.1,63.6,14.6,5.2,16.91,0.8,57.44444444444444,34.166666666666664
강원도,2016-05-31,441.505121,22.8,2.4,45.9,14.6,11.6,24.55,0.8,75.125,46.27777777777778
강원도,2016-06-01,491.481075,19.6,2.1,51.5,14.6,12.5,30.41,0.8,39.94444444444444,19.791666666666668
강원도,2016-06-02,516.378864,20.5,2.3,38.9,14.6,12.5,29.67,0.8,30.58333333333333,12.618055555555555
강원도,2016-06-03,497.127234,25.3,2.5,35.4,14.6,11.8,27.72,0.8,49.23611111111112,21.40277777777778
강원도,2016-06-04,211.063011,23.9,1.8,34.4,14.7,3.8,15.66,0.8,43.833333333333336,23.13888888888889
강원도,2016-06-05,476.244031,17.8,2.3,70.4,14.7,7.9,24.39,0.8,42.68055555555556,24.26388888888889
강원도,2016-06-06,290.03647,19.1,1.6,72.3,14.7,5.4,18.78,0.8,37.25,20.27777777777778
강원도,2016-06-07,304.406322,19.6,1.3,77.8,14.7,0.9,13.19,0.8,40.333333333333336,20.694444444444443
강원도,2016-06-08,307.771716,20.8,1.2,77.3,14.7,3.6,16.66,0.8,50.29166666666666,28.61111111111111
강원도,2016-06-09,379.455215,20.8,1.6,74.4,14.7,9.5,24.51,0.8,43.638888888888886,26.98611111111111
